date,Central2014,Western,Northern,Eastern
2013-10-07,0,0,0,0
2013-10-14,0,0,0,0
2013-10-21,0,0,0,0
2013-10-28,0,0,0,0
2013-11-04,2,0,0,0
2013-11-11,20,0,0,0
2013-11-18,9,0,0,0
2013-11-25,33,1,0,0
2013-12-02,24,7,0,0
2013-12-09,39,8,7,0
2013-12-16,102,52,0,0
2013-12-23,208,89,0,0
2013-12-30,289,148,3,0
2014-01-06,506,122,7,0
2014-01-13,470,69,72,0
2014-01-20,828,155,162,0
2014-01-27,697,125,17,0
2014-02-03,763,174,99,3
2014-02-10,641,268,57,1
2014-02-17,942,185,8,2
2014-02-24,1018,173,39,1
2014-03-03,714,167,176,1
2014-03-10,360,466,70,0
2014-03-17,271,252,9,0
2014-03-24,262,25,3,5
2014-03-31,69,4,0,0
2014-04-07,130,54,0,1
2014-04-14,86,40,0,0
2014-04-21,69,27,0,0
2014-04-28,51,23,0,1
2014-05-05,8,85,35,1
2014-05-12,2,45,1,0
2014-05-19,5,22,4,0
2014-05-26,3,14,26,0
2014-06-02,15,1,15,0
2014-06-09,17,30,0,0
2014-06-16,18,34,0,0
2014-06-23,39,48,0,0
2014-06-30,5,11,0,0
2014-07-07,1,48,0,0
2014-07-14,0,0,0,0
2014-07-21,0,0,0,0
2014-07-28,0,0,0,0
2014-08-04,0,0,0,0
2014-08-11,0,0,0,0
2014-08-18,0,0,0,0
2014-08-25,0,0,0,0
2014-09-01,0,0,0,0
2014-09-08,0,0,0,0
2014-09-15,0,0,0,0
2014-09-22,0,0,0,0
2014-09-29,0,0,0,0
2014-10-06,0,0,0,0
2014-10-13,0,0,0,0
2014-10-20,0,0,0,0
2014-10-27,0,0,0,0
2014-11-03,0,0,0,0
2014-11-10,0,0,0,0
2014-11-17,0,0,0,0
2014-11-24,0,0,0,0
2014-12-01,0,0,0,0
2014-12-08,0,0,0,0
2014-12-15,0,0,0,0
2014-12-22,0,0,0,0
2014-12-29,0,0,0,0
2015-01-05,0,0,0,0
2015-01-12,0,0,0,0
2015-01-19,0,0,0,0
2015-01-26,0,0,0,0
2015-02-02,0,0,0,0
2015-02-09,0,0,0,0
2015-02-16,0,0,0,0
2015-02-23,0,0,0,0
2015-03-02,0,0,0,0
2015-03-09,0,0,0,0
2015-03-16,0,0,0,0
2015-03-23,0,0,0,0
2015-03-30,0,0,0,0
2015-04-06,0,0,0,0
2015-04-13,0,0,0,0
2015-04-20,0,0,0,0
2015-04-27,0,0,0,0
2015-05-04,0,0,0,0
2015-05-11,0,0,0,0
2015-05-18,0,0,0,0
2015-05-25,0,0,0,0
2015-06-01,0,0,0,0
2015-06-08,0,0,0,0
2015-06-15,0,0,0,0
2015-06-22,0,0,0,0
2015-06-29,0,0,0,0
2015-07-06,0,0,0,0
2015-07-13,0,0,0,0
2015-07-20,0,0,0,0
2015-07-27,0,0,0,0
2015-08-03,0,0,0,0
2015-08-10,0,0,0,0
2015-08-17,0,0,0,0
2015-08-24,0,0,0,0
2015-08-31,0,0,0,0
2015-09-07,0,0,0,0
2015-09-14,0,0,0,0
2015-09-21,0,0,0,0
2015-09-28,0,0,0,0
2015-10-05,0,0,0,0
2015-10-12,0,0,0,0
2015-10-19,0,0,0,0
2015-10-26,0,0,0,0
2015-11-02,0,0,0,0
2015-11-09,0,0,0,0
