date,Zika2016
2015-07-27,2
2015-08-03,0
2015-08-10,0
2015-08-17,0
2015-08-24,0
2015-08-31,0
2015-09-07,0
2015-09-14,0
2015-09-21,0
2015-09-28,0
2015-10-05,0
2015-10-12,0
2015-10-19,0
2015-10-26,0
2015-11-02,0
2015-11-09,0
2015-11-16,0
2015-11-23,0
2015-11-30,0
2015-12-07,0
2015-12-14,0
2015-12-21,0
2015-12-28,0
2016-01-04,0
2016-01-11,0
2016-01-18,0
2016-01-25,0
2016-02-01,0
2016-02-08,0
2016-02-15,0
2016-02-22,0
2016-02-29,2
2016-03-07,0
2016-03-14,1
2016-03-21,0
2016-03-28,1
2016-04-04,0
2016-04-11,0
2016-04-18,0
2016-04-25,1
2016-05-02,0
2016-05-09,1
2016-05-16,0
2016-05-23,0
2016-05-30,0
2016-06-06,4
2016-06-13,0
2016-06-20,2
2016-06-27,0
2016-07-04,0
2016-07-11,0
2016-07-18,1
2016-07-25,0
2016-08-01,0
2016-08-08,0
2016-08-15,0
2016-08-22,0
2016-08-29,0
2016-09-05,0
2016-09-12,0
2016-09-19,0
2016-09-26,0
2016-10-03,0
2016-10-10,0
2016-10-17,0
2016-10-24,0
2016-10-31,0
2016-11-07,0
2016-11-14,0
2016-11-21,0
2016-11-28,0
2016-12-05,0
2016-12-12,0
2016-12-19,0
2016-12-26,0
2017-01-02,0
2017-01-09,0
2017-01-16,0
2017-01-23,0
2017-01-30,0
2017-02-06,0
2017-02-13,0
2017-02-20,0
2017-02-27,0
2017-03-06,0
2017-03-13,0
2017-03-20,1
2017-03-27,0
2017-04-03,0
2017-04-10,0
2017-04-17,0
2017-04-24,0
2017-05-01,0
2017-05-08,0
2017-05-15,0
2017-05-22,0
2017-05-29,0
2017-06-05,0
2017-06-12,0
2017-06-19,0
2017-06-26,0
2017-07-03,0
2017-07-10,0
2017-07-17,0
2017-07-24,0
2017-07-31,0
2017-08-07,0
2017-08-14,0
2017-08-21,0
2017-08-28,0
2017-09-04,0
2017-09-11,0
2017-09-18,0
2017-09-25,0
2017-10-02,0
2017-10-09,0
2017-10-16,0
2017-10-23,0
2017-10-30,0
2017-11-06,0
2017-11-13,0
2017-11-20,0
2017-11-27,0
2017-12-04,0
2017-12-11,0
2017-12-18,0
2017-12-25,0
2018-01-01,0
